S.no,employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
3860,00-13085086,Elizabeth,Moore,Female,New York,Buffalo,02-08-2019,Operations,Inventory Specialist,High School,"1,18,395",Good,No,23-03-1978,
3861,00-46698001,Robert,Wilson,Male,Florida,Miami,19-08-2023,Customer Service,Support Specialist,Master,"1,15,216",Good,No,17-03-2001,
3862,00-85557998,Sarah,Wilson,Male,New York,Buffalo,03-12-2015,IT,IT Manager,High School,"65,397",Satisfactory,No,24-03-1972,
3863,00-11849485,Linda,Davis,Male,New York,New York City,29-08-2018,Sales,Sales Representative,High School,"87,390",Good,No,21-03-1986,
3864,00-13912210,Joseph,Davis,Male,New York,New York City,15-06-2018,Customer Service,Help Desk Technician,PhD,"1,19,482",Needs Improvement,No,25-03-1968,
3865,00-74811674,William,Martin,Male,Michigan,Warren,03-09-2015,Marketing,SEO Specialist,High School,"84,181",Excellent,Yes,20-03-1990,
3866,00-23569523,Joseph,Anderson,Male,New York,Rochester,02-09-2021,Operations,Operations Analyst,Master,"1,02,945",Excellent,Yes,25-03-1968,
3867,00-72695253,James,Martinez,Female,North Carolina,Greensboro,11-05-2016,Operations,Operations Manager,Bachelor,"57,757",Satisfactory,No,18-03-1999,
3868,00-48710048,Linda,Jones,Male,New York,New York City,09-12-2015,Operations,Logistics Coordinator,Master,"99,670",Good,No,22-03-1981,04-11-2020
3869,00-26736740,Jennifer,Anderson,Male,New York,Buffalo,01-09-2021,Operations,Operations Manager,PhD,"57,453",Satisfactory,Yes,17-03-2003,
3870,00-42485111,Joseph,Rodriguez,Male,New York,New York City,05-03-2023,Operations,Operations Analyst,Master,"99,982",Satisfactory,No,24-03-1974,
3871,00-54372878,Michael,Gonzalez,Female,New York,New York City,15-07-2018,IT,IT Manager,Bachelor,"76,935",Good,No,18-03-1997,30-11-2020
3872,00-44605956,Patricia,Williams,Male,Illinois,Chicago,21-08-2021,Customer Service,Customer Service Manager,Bachelor,"53,639",Good,Yes,22-03-1980,14-09-2022
3873,00-43265405,Richard,Jackson,Female,North Carolina,Charlotte,05-08-2015,Operations,Operations Manager,Master,"66,855",Satisfactory,No,19-03-1993,14-11-2019
3874,00-51512466,William,Garcia,Female,Michigan,Warren,11-09-2024,IT,IT Support Specialist,PhD,"82,026",Satisfactory,No,22-03-1981,
3875,00-85234156,William,Jones,Female,Illinois,Aurora,10-09-2023,Sales,Sales Representative,High School,"66,212",Satisfactory,No,23-03-1978,10-01-2028
3876,00-51965869,Karen,Jackson,Male,Pennsylvania,Allentown,08-11-2021,Operations,Logistics Coordinator,Master,"68,568",Good,No,23-03-1978,
3877,00-21444897,Sarah,Rodriguez,Male,New York,Buffalo,12-07-2018,Customer Service,Customer Service Representative,PhD,"91,514",Good,No,25-03-1970,
3878,00-63885207,Thomas,Jones,Male,New York,Rochester,11-03-2022,Finance,Financial Analyst,High School,"1,19,973",Good,No,18-03-1998,
3879,00-92146730,Charles,Martinez,Male,Pennsylvania,Philadelphia,19-01-2017,IT,Software Developer,Bachelor,"75,539",Good,No,22-03-1982,
3880,00-89612839,Linda,Lopez,Male,Pennsylvania,Allentown,18-08-2015,Operations,Operations Analyst,Master,"72,465",Good,No,24-03-1972,
3881,00-55105646,James,Thomas,Male,New York,Buffalo,06-07-2015,Operations,Inventory Specialist,High School,"1,09,121",Satisfactory,No,20-03-1991,
3882,00-49552670,Robert,Lopez,Female,New York,New York City,22-02-2018,Sales,Sales Representative,PhD,"1,14,049",Good,No,24-03-1974,
3883,00-46704887,Charles,Gonzalez,Male,New York,Buffalo,28-11-2023,Finance,Accountant,High School,"90,123",Good,No,23-03-1977,
3884,00-17096050,Mary,Wilson,Female,New York,New York City,03-05-2019,Customer Service,Customer Service Representative,PhD,"89,013",Good,No,25-03-1970,
3885,00-71401183,Barbara,Lopez,Male,New York,New York City,28-07-2020,Customer Service,Help Desk Technician,Bachelor,"96,089",Good,No,21-03-1986,
3886,00-60981142,James,Jackson,Female,New York,New York City,26-07-2016,Marketing,Marketing Manager,High School,"83,313",Good,No,17-03-2003,
3887,00-58380316,William,Lopez,Male,New York,Rochester,22-03-2017,Sales,Sales Representative,High School,"62,134",Good,No,23-03-1977,22-05-2022
3888,00-92476296,Linda,Jones,Male,New York,Rochester,03-05-2023,IT,System Administrator,PhD,"54,073",Satisfactory,No,23-03-1976,
3889,00-63303079,Robert,Lopez,Male,New York,Rochester,27-11-2023,IT,IT Manager,PhD,"88,882",Good,Yes,19-03-1992,
3890,00-62914246,Mary,Miller,Female,Michigan,Detroit,03-03-2019,Operations,Operations Manager,Bachelor,"88,947",Good,Yes,20-03-1989,
3891,00-90193305,Thomas,Taylor,Female,New York,Buffalo,31-12-2017,Marketing,SEO Specialist,PhD,"96,856",Good,No,19-03-1995,
3892,00-42587759,Susan,Williams,Female,New York,Buffalo,19-08-2021,IT,System Administrator,PhD,"84,414",Good,Yes,22-03-1983,
3893,00-51110112,Karen,Lopez,Female,Pennsylvania,Allentown,27-12-2021,Operations,Logistics Coordinator,PhD,"1,16,463",Good,No,18-03-1997,
3894,00-35910150,Patricia,Thomas,Female,North Carolina,Greensboro,20-10-2024,Marketing,Content Creator,Bachelor,"1,07,599",Good,No,18-03-1998,
3895,00-27813746,Robert,Rodriguez,Female,Michigan,Detroit,23-10-2016,IT,Software Developer,Bachelor,"1,01,660",Good,No,18-03-1996,
3896,00-23738800,Joseph,Wilson,Female,New York,Buffalo,20-12-2022,IT,IT Manager,Master,"55,299",Good,No,21-03-1987,
3897,00-62269576,David,Lopez,Female,New York,New York City,27-11-2015,Operations,Operations Analyst,PhD,"80,330",Needs Improvement,Yes,24-03-1972,31-01-2017
3898,00-12135165,Barbara,Smith,Female,Michigan,Detroit,07-12-2022,Sales,Sales Consultant,Bachelor,"54,962",Good,Yes,24-03-1974,
3899,00-49185349,David,Jackson,Male,Michigan,Grand Rapids,26-11-2016,Customer Service,Customer Service Representative,PhD,"1,05,050",Good,No,24-03-1973,
3900,00-46629025,Jennifer,Miller,Female,Michigan,Warren,10-05-2017,Customer Service,Support Specialist,Master,"78,445",Good,No,20-03-1990,
3901,00-71311543,Michael,Jones,Female,New York,Rochester,10-12-2019,Operations,Operations Analyst,PhD,"74,524",Good,No,18-03-1999,
3902,00-56266539,Patricia,Johnson,Female,Pennsylvania,Philadelphia,19-07-2016,Customer Service,Help Desk Technician,High School,"1,14,188",Needs Improvement,No,23-03-1976,
3903,00-19088182,William,Miller,Male,New York,Rochester,10-01-2022,Customer Service,Support Specialist,PhD,"1,00,155",Good,No,22-03-1983,
3904,00-76668408,John,Lopez,Male,North Carolina,Raleigh,05-05-2020,HR,HR Coordinator,High School,"53,453",Good,No,22-03-1982,
3905,00-85204210,Charles,Moore,Male,New York,New York City,26-09-2015,Marketing,Marketing Coordinator,Bachelor,"53,974",Good,No,25-03-1968,
3906,00-16944370,Jessica,Martin,Male,New York,New York City,07-06-2024,Sales,Sales Consultant,PhD,"1,08,889",Needs Improvement,No,20-03-1990,27-08-2025
3907,00-92181618,Jessica,Miller,Male,New York,Buffalo,17-12-2015,Sales,Sales Specialist,Master,"56,772",Satisfactory,Yes,19-03-1994,
3908,00-70917200,Barbara,Martin,Male,New York,Rochester,20-04-2024,Operations,Operations Manager,Bachelor,"1,03,998",Good,Yes,25-03-1970,
3909,00-10034722,Karen,Johnson,Male,New York,Buffalo,09-09-2016,IT,Software Developer,High School,"1,12,598",Good,No,18-03-1999,
3910,00-26272372,Thomas,Jackson,Female,New York,Buffalo,23-11-2018,Marketing,SEO Specialist,Bachelor,"92,382",Satisfactory,No,25-03-1968,
3911,00-15073784,Robert,Davis,Male,New York,New York City,05-11-2015,Customer Service,Support Specialist,PhD,"95,977",Good,No,18-03-1997,
3912,00-69791280,Karen,Smith,Male,New York,New York City,16-11-2016,IT,Software Developer,High School,"1,18,914",Satisfactory,No,25-03-1970,20-10-2019
3913,00-10406039,Karen,Martinez,Female,New York,New York City,19-03-2020,IT,System Administrator,High School,"72,190",Good,No,21-03-1987,
3914,00-39666825,James,Johnson,Male,New York,Buffalo,03-10-2020,Operations,Inventory Specialist,PhD,"95,816",Excellent,No,25-03-1971,
3915,00-75041138,David,Hernandez,Male,Michigan,Warren,25-01-2021,Customer Service,Support Specialist,High School,"94,404",Good,No,25-03-1968,
3916,00-50756659,David,Johnson,Female,New York,Buffalo,08-12-2021,IT,IT Support Specialist,Bachelor,"82,519",Good,Yes,23-03-1979,
3917,00-49093288,Richard,Jones,Male,New York,Buffalo,30-12-2016,Operations,Inventory Specialist,Master,"63,681",Good,Yes,25-03-1970,
3918,00-48659080,Robert,Johnson,Male,Ohio,Cleveland,24-11-2023,Customer Service,Customer Service Representative,Master,"92,461",Good,No,17-03-2002,
3919,00-44795990,Richard,Jones,Male,New York,New York City,17-06-2020,IT,IT Support Specialist,Master,"75,346",Excellent,No,21-03-1986,
3920,00-37003272,Charles,Martinez,Male,Michigan,Detroit,10-10-2019,Marketing,Marketing Coordinator,PhD,"83,608",Satisfactory,No,17-03-2002,
3921,00-85127595,Susan,Jackson,Female,New York,Rochester,02-04-2023,Operations,Logistics Coordinator,Master,"1,08,526",Satisfactory,No,21-03-1987,
3922,00-21548508,Mary,Gonzalez,Female,Michigan,Warren,05-02-2024,Marketing,Marketing Coordinator,PhD,"69,822",Satisfactory,No,23-03-1977,
3923,00-22300792,Thomas,Anderson,Female,New York,Rochester,25-08-2017,IT,IT Support Specialist,Master,"78,393",Good,No,24-03-1975,
3924,00-19728002,Jennifer,Rodriguez,Female,New York,Rochester,21-05-2017,Sales,Sales Manager,PhD,"84,861",Satisfactory,No,22-03-1982,
3925,00-90213358,Thomas,Jones,Male,New York,Buffalo,08-10-2017,Sales,Sales Representative,High School,"85,442",Satisfactory,Yes,23-03-1976,25-06-2018
3926,00-74756410,Charles,Miller,Female,New York,Buffalo,12-11-2018,Operations,Operations Manager,PhD,"98,925",Satisfactory,No,23-03-1979,
3927,00-33949037,Susan,Jackson,Female,New York,New York City,28-06-2023,Customer Service,Customer Service Manager,Bachelor,"70,845",Good,No,24-03-1974,
3928,00-55941320,Jessica,Brown,Male,New York,New York City,31-01-2019,IT,IT Support Specialist,PhD,"74,194",Good,Yes,17-03-2000,
3929,00-43442775,James,Smith,Female,Michigan,Warren,02-10-2023,Operations,Logistics Coordinator,PhD,"1,16,315",Good,No,25-03-1968,
3930,00-88782824,Patricia,Lopez,Male,New York,New York City,04-08-2016,Customer Service,Support Specialist,Bachelor,"94,619",Good,Yes,22-03-1980,
3931,00-10927070,Charles,Moore,Female,New York,Rochester,30-07-2024,Operations,Operations Manager,Master,"1,14,370",Good,No,25-03-1970,
3932,00-97692956,Karen,Johnson,Male,New York,Rochester,21-04-2017,Customer Service,Customer Service Manager,Bachelor,"85,214",Satisfactory,No,17-03-2000,
3933,00-43002771,Richard,Hernandez,Male,New York,Rochester,13-02-2017,HR,HR Coordinator,Master,"1,06,843",Good,No,25-03-1970,
3934,00-90807597,Joseph,Anderson,Male,New York,New York City,05-04-2023,IT,IT Support Specialist,High School,"1,05,861",Good,No,17-03-2002,11-04-2025
3935,00-60644002,Patricia,Rodriguez,Male,New York,New York City,10-10-2017,Operations,Inventory Specialist,High School,"56,669",Good,Yes,21-03-1987,
3936,00-20649487,Jessica,Martinez,Female,New York,Buffalo,17-03-2017,Operations,Inventory Specialist,PhD,"60,806",Excellent,No,22-03-1980,
3937,00-71529651,Susan,Garcia,Male,New York,New York City,05-01-2019,Operations,Inventory Specialist,PhD,"89,459",Needs Improvement,Yes,16-03-2004,
3938,00-44221050,Barbara,Taylor,Male,New York,Buffalo,24-10-2019,Marketing,Marketing Manager,Bachelor,"88,072",Satisfactory,No,25-03-1970,
3939,00-51286202,John,Rodriguez,Female,New York,New York City,26-06-2020,IT,System Administrator,Bachelor,"58,325",Good,No,20-03-1988,03-02-2025
3940,00-91116100,Thomas,Taylor,Female,New York,Buffalo,10-12-2016,Operations,Inventory Specialist,Bachelor,"83,847",Good,No,25-03-1968,
3941,00-94958868,Jennifer,Jones,Male,New York,New York City,02-01-2023,Sales,Sales Consultant,Bachelor,"66,078",Good,No,21-03-1984,
3942,00-13195779,James,Anderson,Female,New York,Rochester,21-03-2024,Finance,Finance Manager,Bachelor,"68,168",Excellent,No,16-03-2004,
3943,00-46655447,Thomas,Rodriguez,Female,New York,Buffalo,16-09-2019,Finance,Accounts Payable Specialist,PhD,"59,315",Excellent,No,22-03-1981,
3944,00-99490181,William,Brown,Female,New York,Rochester,18-03-2020,Customer Service,Help Desk Technician,PhD,"50,926",Satisfactory,Yes,21-03-1986,
3945,00-83558866,Charles,Davis,Male,New York,Rochester,13-12-2015,Finance,Finance Manager,PhD,"90,647",Good,Yes,22-03-1981,
3946,00-63777234,Jessica,Anderson,Male,New York,Buffalo,06-03-2019,IT,IT Support Specialist,PhD,"1,00,445",Satisfactory,No,23-03-1979,
3947,00-74512815,Richard,Johnson,Male,New York,Rochester,16-12-2018,Finance,Accountant,High School,"1,15,553",Good,No,22-03-1983,
3948,00-28747306,Charles,Wilson,Male,New York,Buffalo,11-09-2018,Operations,Logistics Coordinator,Bachelor,"59,254",Satisfactory,No,24-03-1973,
3949,00-48590029,Charles,Martin,Female,New York,Rochester,28-10-2020,Operations,Inventory Specialist,Bachelor,"1,15,703",Good,No,24-03-1973,
3950,00-72816536,Barbara,Martinez,Male,Michigan,Warren,03-02-2018,Operations,Operations Analyst,Bachelor,"50,648",Needs Improvement,No,23-03-1977,05-07-2022
3951,00-84358037,Barbara,Johnson,Male,New York,Buffalo,26-12-2024,IT,Software Developer,PhD,"80,429",Good,No,25-03-1971,
3952,00-46994334,Mary,Johnson,Female,New York,Buffalo,23-12-2023,Operations,Inventory Specialist,Bachelor,"90,014",Satisfactory,No,23-03-1978,
3953,00-67954180,Michael,Jackson,Male,Michigan,Detroit,03-10-2017,Customer Service,Customer Service Representative,High School,"83,678",Good,No,20-03-1989,30-09-2018
3954,00-83012538,Michael,Jackson,Female,New York,New York City,17-09-2017,IT,IT Manager,High School,"64,220",Satisfactory,No,18-03-1997,
3955,00-78224244,William,Smith,Male,Michigan,Grand Rapids,19-12-2018,IT,System Administrator,Master,"94,975",Needs Improvement,No,25-03-1971,
3956,00-59866003,Robert,Martinez,Male,New York,Buffalo,20-09-2016,Operations,Inventory Specialist,High School,"95,036",Good,No,17-03-2000,
3957,00-65306850,Karen,Anderson,Female,New York,Buffalo,20-11-2018,Sales,Sales Representative,Bachelor,"91,599",Excellent,No,17-03-2000,
3958,00-86755111,Sarah,Miller,Male,New York,Rochester,16-08-2020,IT,IT Support Specialist,High School,"81,658",Satisfactory,No,22-03-1983,
3959,00-63340366,Susan,Martin,Female,New York,Buffalo,31-10-2024,Finance,Accountant,Bachelor,"96,583",Excellent,No,25-03-1970,
3960,00-43599533,John,Anderson,Male,Illinois,Naperville,26-12-2020,Sales,Sales Consultant,Master,"1,00,734",Satisfactory,No,17-03-2002,
3961,00-90531418,Karen,Jackson,Male,New York,New York City,10-09-2023,Finance,Accounts Payable Specialist,Bachelor,"84,568",Good,Yes,23-03-1977,
3962,00-51140263,Jessica,Wilson,Male,New York,Rochester,19-11-2016,HR,HR Coordinator,PhD,"87,218",Good,No,18-03-1996,
3963,00-58571728,Patricia,Thomas,Female,Michigan,Warren,18-02-2020,Customer Service,Customer Service Representative,PhD,"1,13,096",Good,No,25-03-1968,
3964,00-91363169,Mary,Williams,Female,Pennsylvania,Philadelphia,21-06-2016,Customer Service,Help Desk Technician,High School,"57,618",Good,No,21-03-1984,
3965,00-27073410,James,Miller,Male,New York,Rochester,29-05-2022,Customer Service,Help Desk Technician,Bachelor,"63,219",Good,No,18-03-1996,
3966,00-59033829,John,Jackson,Male,New York,New York City,09-02-2022,Sales,Sales Specialist,Master,"1,00,160",Needs Improvement,No,19-03-1994,
3967,00-46327630,Susan,Garcia,Male,New York,New York City,27-05-2015,Operations,Operations Manager,PhD,"94,116",Needs Improvement,No,23-03-1977,
3968,00-94848377,Linda,Martin,Female,New York,New York City,09-08-2022,Marketing,Content Creator,High School,"1,18,409",Good,No,19-03-1995,
3969,00-27646484,Richard,Jones,Male,New York,Buffalo,12-09-2017,Operations,Operations Manager,Master,"51,899",Satisfactory,No,20-03-1989,17-12-2020
3970,00-52128097,David,Martin,Female,New York,Rochester,26-05-2024,IT,System Administrator,High School,"85,868",Excellent,No,19-03-1994,06-11-2029
3971,00-47994683,Thomas,Martinez,Female,New York,New York City,12-06-2023,IT,System Administrator,High School,"1,13,944",Good,Yes,21-03-1987,
3972,00-90564046,Michael,Davis,Male,New York,New York City,12-10-2020,Customer Service,Customer Service Manager,PhD,"53,203",Needs Improvement,No,18-03-1996,
3973,00-10524722,Elizabeth,Miller,Male,Michigan,Detroit,09-04-2015,Sales,Sales Manager,PhD,"1,13,467",Needs Improvement,No,18-03-1998,
3974,00-33339154,Linda,Hernandez,Male,New York,Rochester,25-09-2022,Operations,Operations Analyst,Bachelor,"1,14,089",Satisfactory,No,24-03-1974,
3975,00-39610000,Jessica,Wilson,Male,New York,Buffalo,06-11-2018,Sales,Sales Specialist,PhD,"1,02,145",Good,Yes,17-03-2000,
3976,00-69567588,Barbara,Thomas,Female,New York,New York City,14-10-2018,Sales,Sales Specialist,Master,"63,990",Good,Yes,21-03-1986,
3977,00-23062622,Jennifer,Gonzalez,Male,Pennsylvania,Pittsburgh,20-10-2019,Operations,Operations Manager,Master,"82,383",Good,No,26-03-1967,
3978,00-87457151,Robert,Martin,Male,Michigan,Grand Rapids,04-01-2017,Operations,Inventory Specialist,High School,"68,197",Good,No,17-03-2000,
3979,00-96123265,Patricia,Miller,Female,New York,Buffalo,24-04-2024,Operations,Operations Analyst,Bachelor,"56,624",Excellent,Yes,23-03-1977,
3980,00-93044549,Sarah,Martin,Male,New York,Rochester,05-12-2024,Operations,Logistics Coordinator,Bachelor,"87,751",Satisfactory,No,23-03-1976,
3981,00-38886122,Charles,Williams,Female,New York,New York City,05-10-2021,IT,IT Manager,Bachelor,"1,08,972",Excellent,Yes,18-03-1997,
3982,00-24715933,Robert,Anderson,Female,New York,Buffalo,21-09-2021,Operations,Operations Analyst,Master,"91,295",Satisfactory,No,24-03-1975,
3983,00-21748631,Elizabeth,Garcia,Male,New York,New York City,09-11-2023,Operations,Operations Manager,PhD,"74,506",Good,Yes,19-03-1993,22-04-2028
3984,00-62559164,David,Martin,Male,New York,New York City,07-07-2015,Sales,Sales Manager,Master,"82,955",Satisfactory,No,19-03-1992,
3985,00-38936075,Richard,Rodriguez,Female,New York,Buffalo,25-10-2017,Operations,Operations Analyst,Bachelor,"1,04,840",Satisfactory,Yes,26-03-1967,18-02-2019
3986,00-30979589,James,Johnson,Male,Michigan,Grand Rapids,21-01-2022,Sales,Sales Consultant,Bachelor,"1,07,859",Satisfactory,No,23-03-1979,
3987,00-42074883,David,Garcia,Female,Illinois,Aurora,14-09-2020,Sales,Sales Manager,PhD,"91,891",Satisfactory,No,24-03-1974,27-07-2024
3988,00-39299635,Michael,Moore,Female,Virginia,Norfolk,12-06-2017,Customer Service,Customer Service Manager,High School,"55,714",Good,Yes,26-03-1967,10-04-2018
3989,00-99335519,Susan,Miller,Female,New York,Rochester,29-07-2016,Customer Service,Support Specialist,PhD,"1,12,369",Satisfactory,No,23-03-1976,
3990,00-48075729,Richard,Lopez,Male,New York,Rochester,20-08-2019,IT,IT Manager,PhD,"71,718",Good,No,25-03-1969,
3991,00-72078535,James,Davis,Male,Michigan,Grand Rapids,28-01-2018,Operations,Inventory Specialist,Bachelor,"78,864",Good,Yes,19-03-1993,
3992,00-60806922,Barbara,Wilson,Male,Pennsylvania,Allentown,13-03-2018,Customer Service,Customer Service Manager,Master,"88,887",Good,No,23-03-1978,
3993,00-54680668,Patricia,Anderson,Male,New York,Buffalo,20-07-2020,Operations,Operations Analyst,Master,"58,910",Satisfactory,Yes,24-03-1972,
3994,00-77068267,Richard,Jackson,Female,Illinois,Naperville,03-05-2019,Sales,Sales Specialist,Master,"1,03,528",Satisfactory,No,21-03-1984,
3995,00-11692090,Mary,Davis,Female,Ohio,Cincinnati,15-06-2017,Operations,Inventory Specialist,Master,"70,112",Satisfactory,No,19-03-1993,
3996,00-63037683,William,Taylor,Male,New York,Buffalo,23-02-2022,Sales,Sales Consultant,High School,"51,140",Excellent,No,25-03-1968,
3997,00-27164035,David,Williams,Male,New York,Rochester,23-12-2017,Customer Service,Support Specialist,Master,"1,12,908",Good,No,26-03-1967,
3998,00-36569756,Joseph,Jones,Male,New York,New York City,08-06-2020,Operations,Inventory Specialist,PhD,"55,907",Good,No,21-03-1987,25-09-2021
3999,00-67665803,Elizabeth,Miller,Male,Illinois,Chicago,27-01-2017,IT,IT Support Specialist,High School,"60,155",Good,No,20-03-1990,
4000,00-30838048,Jennifer,Jackson,Male,New York,Rochester,07-08-2016,Sales,Sales Manager,High School,"76,255",Good,Yes,22-03-1981,
4001,00-29945410,Elizabeth,Miller,Male,New York,Rochester,17-09-2016,Sales,Sales Consultant,Master,"54,317",Satisfactory,No,18-03-1999,
4002,00-99529662,Elizabeth,Jackson,Male,Michigan,Grand Rapids,29-06-2016,IT,System Administrator,High School,"1,10,406",Satisfactory,Yes,23-03-1977,
4003,00-99605734,Charles,Hernandez,Female,New York,New York City,07-10-2021,IT,IT Manager,PhD,"77,842",Good,No,21-03-1986,
4004,00-64072891,Joseph,Martin,Male,Illinois,Chicago,26-07-2015,Customer Service,Help Desk Technician,Bachelor,"90,724",Good,Yes,21-03-1985,
4005,00-62631060,Richard,Martin,Female,New York,Buffalo,18-09-2022,Sales,Sales Consultant,PhD,"50,638",Satisfactory,No,25-03-1968,
4006,00-38234257,Thomas,Wilson,Female,New York,Rochester,12-10-2016,IT,System Administrator,High School,"1,19,386",Good,Yes,21-03-1984,
4007,00-34262207,David,Wilson,Male,New York,New York City,27-05-2021,Operations,Inventory Specialist,Bachelor,"99,414",Good,Yes,22-03-1980,
4008,00-29641805,Michael,Jones,Male,New York,Buffalo,09-01-2020,Sales,Sales Consultant,PhD,"82,118",Satisfactory,Yes,21-03-1985,
4009,00-65414406,Sarah,Martin,Female,Illinois,Naperville,09-11-2016,Operations,Inventory Specialist,High School,"85,452",Good,Yes,24-03-1975,
4010,00-42341555,William,Rodriguez,Male,New York,Buffalo,01-09-2019,Sales,Sales Representative,High School,"56,025",Good,No,22-03-1982,30-10-2021
4011,00-90462901,Richard,Williams,Female,Pennsylvania,Allentown,17-07-2015,Operations,Inventory Specialist,PhD,"72,125",Good,No,24-03-1972,
4012,00-61823259,Thomas,Taylor,Male,New York,Buffalo,28-11-2021,IT,Software Developer,Master,"82,844",Satisfactory,No,26-03-1966,
4013,00-44201583,James,Davis,Female,New York,Rochester,06-12-2023,Operations,Logistics Coordinator,High School,"1,18,175",Satisfactory,No,23-03-1977,
4014,00-53487804,Susan,Williams,Female,New York,New York City,25-06-2022,Operations,Logistics Coordinator,Master,"56,166",Good,No,25-03-1969,
4015,00-40582599,Linda,Brown,Female,New York,Rochester,11-10-2017,Finance,Finance Manager,High School,"1,01,778",Satisfactory,No,26-03-1967,
4016,00-45950912,Jessica,Wilson,Male,New York,Rochester,07-10-2015,Marketing,SEO Specialist,Bachelor,"1,14,744",Satisfactory,No,24-03-1973,
4017,00-43246036,Karen,Moore,Male,New York,New York City,08-01-2016,Sales,Sales Consultant,Bachelor,"53,644",Satisfactory,Yes,17-03-2000,
4018,00-22858086,Thomas,Lopez,Male,New York,New York City,08-05-2015,IT,IT Manager,Bachelor,"81,517",Good,No,26-03-1967,10-09-2016
4019,00-39024462,John,Miller,Male,Illinois,Chicago,15-02-2024,Operations,Inventory Specialist,Bachelor,"58,725",Good,No,21-03-1986,
4020,00-89677961,Sarah,Garcia,Male,New York,New York City,18-11-2016,Operations,Inventory Specialist,High School,"74,063",Needs Improvement,Yes,20-03-1989,
4021,00-89833283,Susan,Thomas,Male,New York,New York City,24-05-2015,Sales,Sales Manager,Bachelor,"95,571",Good,No,26-03-1966,22-08-2020
4022,00-42867893,Patricia,Anderson,Female,North Carolina,Raleigh,16-02-2022,Customer Service,Support Specialist,PhD,"51,801",Satisfactory,No,16-03-2004,
4023,00-24119550,Charles,Williams,Male,Ohio,Cleveland,21-03-2019,Finance,Financial Analyst,Bachelor,"72,828",Satisfactory,No,21-03-1986,
4024,00-81081599,Linda,Rodriguez,Male,New York,New York City,17-10-2023,Finance,Accounts Payable Specialist,High School,"98,852",Excellent,No,17-03-2000,
4025,00-76144246,Elizabeth,Wilson,Male,Michigan,Warren,17-04-2016,Customer Service,Customer Service Manager,PhD,"57,678",Good,No,25-03-1969,
4026,00-27901200,Jessica,Jones,Female,New York,Rochester,02-02-2017,IT,IT Manager,Master,"56,976",Good,No,17-03-2002,
4027,00-98152697,Thomas,Smith,Female,New York,Rochester,26-02-2023,Customer Service,Customer Service Representative,Master,"64,946",Good,Yes,19-03-1993,
4028,00-32512506,Patricia,Gonzalez,Female,New York,Rochester,22-08-2022,Sales,Sales Manager,High School,"99,107",Satisfactory,No,26-03-1966,
4029,00-38815871,Jennifer,Rodriguez,Male,New York,Rochester,08-11-2015,Finance,Accountant,Bachelor,"95,914",Satisfactory,No,19-03-1993,
4030,00-61590666,Jennifer,Lopez,Male,Michigan,Detroit,09-05-2022,Sales,Sales Manager,Bachelor,"61,568",Good,No,20-03-1990,17-04-2025
4031,00-72722957,Charles,Lopez,Female,New York,Rochester,03-04-2018,Sales,Sales Consultant,Bachelor,"71,950",Satisfactory,Yes,22-03-1980,
4032,00-13566476,Patricia,Williams,Female,New York,Buffalo,01-01-2020,Operations,Operations Manager,High School,"1,06,755",Good,No,24-03-1975,
4033,00-82077282,Susan,Jones,Male,Michigan,Warren,29-01-2015,Operations,Operations Analyst,Master,"62,563",Satisfactory,No,22-03-1983,
4034,00-63281344,William,Garcia,Female,New York,Buffalo,18-12-2019,Operations,Operations Analyst,High School,"72,365",Good,No,19-03-1994,02-09-2023
4035,00-50113166,John,Thomas,Male,New York,Rochester,19-01-2024,IT,System Administrator,Bachelor,"53,035",Good,No,21-03-1986,
4036,00-11600631,Barbara,Miller,Female,North Carolina,Charlotte,27-10-2021,IT,System Administrator,High School,"57,949",Good,Yes,22-03-1983,14-02-2024
4037,00-52913287,James,Taylor,Male,New York,Buffalo,17-08-2020,Customer Service,Support Specialist,Bachelor,"88,169",Needs Improvement,No,23-03-1978,
4038,00-69939084,Mary,Davis,Female,New York,Buffalo,27-08-2020,Sales,Sales Specialist,PhD,"1,09,255",Satisfactory,Yes,24-03-1973,09-03-2021
4039,00-85045497,Linda,Smith,Female,New York,Rochester,16-01-2020,Operations,Inventory Specialist,Master,"88,550",Satisfactory,No,17-03-2002,
4040,00-78442573,Linda,Hernandez,Male,New York,Buffalo,19-01-2023,IT,IT Manager,High School,"1,15,214",Satisfactory,No,19-03-1994,
4041,00-71010335,Karen,Anderson,Female,New York,New York City,17-02-2023,Finance,Accountant,Bachelor,"53,381",Good,No,18-03-1997,
4042,00-83436356,Linda,Jones,Female,Pennsylvania,Philadelphia,18-01-2019,Operations,Operations Manager,High School,"70,663",Good,Yes,17-03-2000,
4043,00-44308591,James,Wilson,Female,New York,New York City,12-07-2024,Sales,Sales Representative,High School,"59,567",Good,No,26-03-1966,09-03-2025
4044,00-33994123,Elizabeth,Johnson,Female,Illinois,Aurora,13-07-2018,Marketing,Marketing Manager,High School,"1,11,481",Satisfactory,No,21-03-1987,
4045,00-73702238,John,Williams,Female,North Carolina,Raleigh,20-07-2015,Operations,Inventory Specialist,Master,"96,090",Satisfactory,No,23-03-1976,
